Date,Open,High,Low,Close,Volume,Market Cap
May-09-2023,27629.96,28286.57,26961.57,27624.54,34700286570,5.36923E+11
May-08-2023,27667.26,27793.76,27376.73,27636.66,34969252717,5.34424E+11
May-07-2023,28417.98,28618.11,27302.45,27692.99,33614293269,5.40593E+11
May-06-2023,28848.17,29083.71,28443.05,28443.05,40216391712,5.5917E+11
May-05-2023,29505.92,29780.05,28448.22,28864.28,40344744907,5.63617E+11
May-04-2023,28852.74,29644.95,28841.55,29529.67,43017299152,5.66599E+11
May-03-2023,29022.13,29318.82,28699.19,28820.66,47257826843,5.61001E+11
May-02-2023,28669.84,29029.98,28180.2,28998.8,41130373590,5.51948E+11
May-01-2023,28067.12,28816.42,27922.17,28639.58,41539767592,5.46995E+11
Apr-30-2023,29190.79,29327.75,27688.46,28084.46,42366560274,5.50316E+11
Apr-29-2023,29230.49,29885.46,29096.96,29310.54,27347809353,5.67814E+11
Apr-28-2023,29308.51,29425.02,29102.87,29216.77,35569645614,5.669E+11
Apr-27-2023,29472.8,29554.57,28950.85,29327.11,53508501340,5.6768E+11
Apr-26-2023,28415.25,29871.99,28396.49,29467.27,81413627959,5.64081E+11
Apr-25-2023,28297.81,29965.49,27425.67,28376.59,56297075747,5.5803E+11
Apr-24-2023,27521.63,28355.86,27228.11,28326.83,39732646598,5.32748E+11
Apr-23-2023,27589.73,27967.05,27121.8,27529.2,35895796357,5.31935E+11
Apr-22-2023,27818.83,27818.83,27400.17,27588.57,30210186537,5.33491E+11
Apr-21-2023,27262.87,27853.24,27177.26,27820.65,47864133704,5.30552E+11
Apr-20-2023,28240.35,28350.29,27219.2,27274.5,49218915740,5.40775E+11
Apr-19-2023,28809.24,29049.45,28045.06,28267.17,53219109539,5.54542E+11
Apr-18-2023,30380.05,30388.94,28688.75,28804.98,48529605626,5.72032E+11
Apr-17-2023,29449.25,30433.47,29199.07,30366.57,39843195656,5.79365E+11
Apr-16-2023,30307.41507,30307.818,29300.46929,29413.96,34544991066,5.74596E+11
Apr-15-2023,30295.10993,30527.17137,30168.22514,30304.87458,23471438594,5.86318E+11
Apr-14-2023,30467.8083,30516.7957,30248.08281,30297.83114,36823809590,5.87526E+11
Apr-13-2023,30380.7126,30955.8686,30031.6626,30478.2924,48071259454,5.91562E+11
Apr-12-2023,29883.2295,30503.8516,29859.8417,30359.5812,42898213070,5.84313E+11
Apr-11-2023,30203.7818,30430.8475,29765.2501,29877.41774,44412758279,5.80001E+11
Apr-10-2023,29661.4333,30442.47423,29594.4637,30230.0732,52751133604,5.82021E+11
Apr-09-2023,28323.77217,29733.0392,28201.6388,29609.8284,32725716693,5.53009E+11
Apr-08-2023,27938.3767,28477.6188,27816.61309,28321.8616,22993951733,5.41633E+11
Apr-07-2023,27909.609,28144.54684,27859.966,27934.0372,23392038628,5.41207E+11
Apr-06-2023,28033.8221,28097.962,27814.97206,27902.2577,28396556743,5.4013E+11
Apr-05-2023,28174.1065,28174.1065,27763.8743,28019.7398,35275760576,5.41545E+11
Apr-04-2023,28161.7377,28681.0547,27893.4447,28176.3891,36576587883,5.48141E+11
Apr-03-2023,27807.76834,28405.3989,27695.2783,28149.6814,41025798293,5.42771E+11
